#{"t_start": 1700758713.0805933, "env_id": "None"}
r,l,t
0.024354,1001,5.497359
0.0,1001,9.961533
0.009518,300,11.655457
0.118714,1001,16.139863
0.011949,1001,20.779474
0.042888,1001,25.271145
0.003888,1001,30.437419
0.001036,1001,36.089301
0.012018,461,38.726286
0.044352,1001,43.76944
0.010816,233,45.438503
0.006983,1001,51.258036
0.0,784,81.000742
0.00565,444,98.185013
0.030038,260,108.383696
0.027661,539,128.281795
0.0,1001,165.4055
0.018579,63,168.182073
0.0,318,180.374592
0.0,128,185.640517
0.0,101,189.680836
0.0,125,194.658534
0.007404,95,198.833346
0.012158,225,207.068005
0.08462,322,219.166093
0.064821,683,243.529258
0.0,202,251.432346
0.125672,144,256.781561
0.0,447,272.987092
0.0,123,278.375703
0.007282,485,296.282079
0.023757,664,321.47543
0.0,181,328.764258
0.027723,1001,365.606308
0.004202,409,381.78595
0.015808,107,386.193111
0.005708,377,400.332502
0.002949,459,417.179418
0.001489,333,429.328088
0.0,802,458.174977
0.115381,502,476.572173
0.0,190,484.005402
0.0,382,498.409042
0.0,53,501.386955
0.0,208,510.30977
0.241739,137,516.361481
0.040451,566,537.881385
0.0,535,557.622385
0.0,727,586.882057
0.014763,733,616.289477
0.284999,1001,654.74034
0.026558,216,664.032059
0.0,1001,702.22269
0.009338,362,716.96725
0.001989,432,733.733403
0.022137,160,740.326829
0.0,200,753.388891
0.0,43,756.169144
0.009162,120,761.941517
0.006507,1001,798.697345
0.004383,663,824.836797
0.0,203,832.606766
0.0,484,850.892237
0.0,186,858.209834
0.005005,503,876.148154
0.0,183,883.299086
0.0,899,917.292795
0.0,394,932.090836
0.0,1001,969.290635
0.091344,96,973.542264
0.0,41,975.609734
0.0,32,977.363042
0.021737,15,978.642047
0.0,258,988.672516
0.0,99,992.719688
0.00044,58,995.495267
0.063567,675,1019.753331
0.006088,351,1032.556145
0.00303,635,1055.538146
0.002211,214,1064.961488
0.004537,295,1076.83708
0.013037,523,1097.47433
0.009588,96,1101.795809
0.012781,43,1103.964809
0.013935,95,1107.957398
0.0,262,1117.60592
0.159587,390,1132.197333
0.499487,753,1160.041814
0.0,427,1177.344515
0.0,365,1192.170563
0.0,57,1194.866352
0.006126,371,1209.325213
0.0,530,1229.893999
0.017925,427,1246.171457
0.0,566,1267.367991
0.0,132,1272.864181
0.015288,403,1288.17153
0.0,124,1293.446637
0.00053,250,1304.153361
0.0,221,1312.492075
0.005692,86,1316.354743
0.03008,115,1320.968445
0.0102,68,1323.943338
0.014905,100,1327.946396
0.0,129,1333.203318
0.028668,108,1337.405051
0.008454,137,1342.642409
0.005374,60,1345.221787
0.003532,85,1349.018132
0.012872,173,1355.378149
0.0,168,1361.880786
0.0,235,1370.879128
0.002393,64,1373.643733
0.0,24,1375.042531
0.0,323,1387.100171
0.0,31,1388.793871
0.0,51,1391.095903
0.00521,40,1393.110787
0.0,84,1397.027523
0.0,154,1403.217032
0.0,93,1407.096709
0.0,590,1430.520176
0.003652,859,1462.466134
0.036756,454,1478.9304
0.017601,94,1482.811077
0.006372,24,1484.245304
0.0,145,1489.75185
0.00195,168,1496.906771
0.010712,362,1510.602823
0.002052,90,1514.401335
0.0,80,1517.8292
0.0,141,1523.549232
0.059249,365,1536.916531
0.014515,169,1544.109014
0.0,127,1549.030735
0.202966,66,1551.879116
0.0,75,1555.140391
0.052042,147,1561.181321
0.005884,232,1569.664264
0.004936,278,1580.077449
0.001277,272,1590.339454
0.0,252,1599.691583
0.0,64,1602.598824
0.0,389,1617.517583
0.0,67,1620.961715
0.020006,431,1638.18004
0.049424,381,1654.903552
0.057965,499,1675.194191
0.042646,516,1694.150932
0.0,73,1697.288575
0.0,134,1702.839841
0.009779,136,1707.95796
0.0,97,1711.707097
0.001362,65,1714.488742
0.004065,413,1729.399876
0.0,223,1738.53807
0.0,96,1742.27074
0.0,69,1745.195958
0.0,388,1759.890061
0.0,126,1765.410415
0.001579,87,1769.146521
0.0,116,1773.754593
0.010685,411,1791.096456
0.0,85,1796.126004
0.005108,1001,1835.16652
0.0,389,1849.522822
0.0,256,1859.032396
0.022817,252,1868.463914
0.0,35,1870.270241
0.0,49,1872.534311
0.013103,367,1886.84265
0.015884,321,1899.744974
0.047154,72,1903.164863
0.007444,158,1909.883168
0.0,74,1913.126512
0.111706,213,1921.030413
0.001971,630,1943.689686
0.009237,246,1952.709621
0.0,151,1959.667805
0.008214,25,1961.231754
0.017314,231,1969.924995
0.038095,402,1985.011915
0.021495,103,1989.685232
0.014613,239,1999.190378
0.038722,223,2008.206742
0.001424,125,2013.477698
0.025715,43,2015.626676
0.010068,133,2022.1883
0.004185,65,2025.461857
0.010184,54,2028.154429
0.002238,93,2032.65938
0.0,111,2037.990164
0.0,56,2040.827574
0.0,26,2042.403529
0.0,124,2047.267535
0.090241,223,2055.869847
0.0,412,2071.418685
0.0,419,2087.2566
0.023977,91,2091.44641
0.004298,274,2102.166539
0.0,192,2109.912158
0.013655,49,2112.262906
0.004705,322,2125.620838
0.014107,91,2130.074882
0.008443,198,2139.894994
0.061397,561,2162.807148
0.005177,21,2165.421677
0.011459,474,2186.775791
0.0,517,2207.517218
0.01243,119,2214.090933
0.004278,22,2216.265107
0.0,355,2240.692481
0.00457,1001,2285.360771
0.102413,507,2307.443458
0.019944,39,2310.053961
0.01865,295,2322.340401
0.015567,147,2329.209137
0.004521,111,2334.40531
0.0,942,2374.081469
0.0,70,2377.436113
0.006177,149,2383.858501
0.0,212,2392.910312
0.011261,454,2410.628481
0.010333,20,2412.014813
0.005727,38,2414.161795
0.053195,151,2421.316553
0.023076,398,2437.746697
0.013397,231,2447.288962
0.002552,127,2453.451237
0.0872,177,2461.20668
0.0,262,2472.288095
0.021021,330,2486.405384
0.001919,66,2489.678976
0.005226,26,2491.351512
0.041047,87,2495.244545
0.020974,208,2504.494879
0.012139,517,2525.006421
0.019548,293,2537.28652
0.012545,164,2544.262879
0.0,107,2549.987307
0.0,201,2558.408931
0.0,74,2561.994251
0.048385,232,2572.054236
0.0,309,2584.771586
0.0,255,2594.995974
0.008681,83,2599.043243
0.002002,87,2603.079133
0.001339,116,2608.400899
0.0,50,2611.030423
0.0,60,2614.72458
0.018325,104,2619.429018
0.0,45,2621.984182
0.0,153,2628.508855
0.026695,70,2632.09312
0.002828,140,2638.208612
0.001386,65,2641.269424
0.00193,357,2656.116386
0.009441,527,2677.493293
0.011635,141,2683.998413
0.0,64,2687.060334
0.003981,506,2707.610826
0.001128,127,2713.297284
0.0,270,2723.921022
0.0,112,2728.992811
0.000773,103,2733.44044
0.129134,715,2762.995951
0.0,380,2778.432766
0.0,98,2782.614529
0.0,403,2798.644725
0.0,284,2810.812777
0.145437,892,2846.668185
0.206309,590,2870.120811
0.0,124,2875.787802
0.0,683,2903.291442
0.022725,302,2915.649537
0.0,190,2923.886605
0.002437,89,2927.949759
0.0,232,2938.032329
0.051913,115,2943.722167
0.005065,144,2950.262676
0.010142,168,2957.268956
0.030241,218,2966.77523
0.020337,220,2975.820547
0.0,166,2983.53844
0.012281,106,2988.349506
0.0,80,2992.045676
0.0,275,3004.925133
0.0,44,3007.53042
0.0,63,3010.746497
0.0,122,3016.467241
0.0,50,3019.046359
0.0,359,3033.834949
0.0,85,3037.815491
0.0,100,3042.227654
0.0,75,3046.22516
0.0,22,3047.796546
0.006663,83,3051.686143
0.0,43,3054.256267
0.0,229,3064.270848
0.00504,82,3068.093631
0.0,52,3070.645402
0.009863,62,3073.940586
0.0,36,3076.378066
0.036927,63,3079.597745
0.003303,72,3083.034611
0.004413,100,3087.644692
0.020203,1001,3127.121063
0.009249,296,3139.037456
0.0,118,3145.205744
0.0,259,3155.726466
0.0,129,3161.649516
0.027597,305,3174.18157
0.0,102,3178.715451
0.002756,328,3192.198385
0.0,179,3199.818631
0.00863,98,3204.823104
0.0,101,3209.887907
0.0,79,3213.698494
0.0,39,3215.83858
0.0,205,3224.909256
0.0,303,3237.359947
0.010403,119,3242.622677
0.0,116,3247.661234
0.0,272,3259.291325
0.0,23,3260.787577
0.0,211,3269.905149
0.0,19,3271.428076
0.0,155,3277.889214
0.0,161,3284.57962
0.0,213,3293.180537
0.0,233,3302.843511
0.0,72,3306.131663
0.0,83,3309.813814
0.001224,102,3314.175206
0.0,108,3319.342677
0.0,94,3323.618565
0.003906,233,3333.373659
0.0,1001,3374.787495
0.013939,469,3393.417916
0.0,414,3410.422737
0.003568,84,3414.756677
0.006458,1001,3454.354045
0.0,284,3466.363725
0.017771,107,3471.566521
0.01112,147,3478.26963
0.0,140,3484.432498
0.011081,304,3497.109612
0.0,119,3502.246435
0.007585,474,3521.332869
0.019257,271,3532.853129
0.008202,148,3539.54104
0.002562,152,3546.113203
0.034036,121,3551.129785
0.001718,79,3554.576555
0.034226,140,3560.766407
0.000267,244,3570.081713
0.032504,148,3576.443148
0.018343,49,3578.871538
0.0,147,3585.123776
0.001347,199,3593.410215
0.066587,314,3606.611756
0.003427,133,3612.351939
0.00891,53,3614.938116
0.00656,161,3622.163088
0.099499,103,3626.852117
0.032096,230,3636.393638
0.0,106,3641.41828
0.0,563,3664.196065
0.0,439,3682.304196
0.015051,370,3697.451734
0.0,407,3713.637465
0.044833,55,3716.556917
0.001021,340,3730.243009
0.0,438,3748.823983
0.019085,87,3753.03674
0.0,49,3755.626832
0.042602,128,3761.20747
0.00368,776,3793.325504
0.000122,306,3805.494326
0.048158,173,3812.120311
0.02676,358,3825.262777
0.000163,1001,3861.812236
0.0,282,3872.896251
0.007194,359,3886.799457
0.0,1001,3924.140528
0.0,400,3939.67102
0.0,630,3963.305293
0.0,44,3965.506275
0.0,438,3981.925579
0.002422,140,3987.392133
0.0,331,4000.210333
0.017143,46,4002.378634
0.0,194,4009.954896
0.0,33,4011.743115
0.0,498,4030.178596
0.0,16,4031.65062
0.0,189,4039.246605
0.0,58,4042.013981
0.0,16,4043.269459
0.0,55,4046.016153
0.0,15,4047.584854
0.000869,385,4065.989759
0.0,18,4067.288531
0.0,306,4079.541842
0.0,16,4080.80646
0.0,16,4082.004314
0.001873,158,4089.33043
0.0,713,4115.598502
0.198598,1001,4153.922752
0.00156,178,4160.770116
0.03319,639,4185.358848
0.001893,16,4186.580058
0.035142,899,4220.398644
0.0,641,4243.012404
0.003438,349,4256.452801
0.0,1001,4298.73398
0.001859,226,4308.059272
0.001218,355,4322.86172
0.0,81,4327.462801
0.010492,576,4353.975497
0.0,77,4360.889222
0.0,59,4364.946881
0.0,211,4375.419322
0.0,140,4381.504151
0.0,45,4383.795974
0.0,602,4407.2925
0.0,306,4418.291156
0.009352,293,4429.612131
0.0,109,4433.95677
0.0,135,4439.754686
0.0,91,4443.739189
0.0,108,4450.36248
0.0,35,4452.603486
0.0,27,4454.880394
0.0,46,4457.976625
0.0,67,4461.215992
0.0,102,4465.798741
0.0,24,4467.377094
0.0,270,4480.79619
0.0,147,4488.033861
0.0,183,4495.675145
0.414811,317,4508.531363
0.013972,71,4511.677025
0.0,28,4513.296693
0.0,77,4516.887305
0.0,71,4520.698322
0.000531,360,4535.671521
